City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Windspeed (mph)
mudgee,-32.5943,149.5871,75.52400000000002,94,75,3.09
xam nua,20.4197,104.0439,68.09000000000002,62,90,0.82
longyearbyen,78.2186,15.6401,12.2,79,75,6.69
pacific grove,36.6177,-121.9166,52.268000000000086,82,90,2.06
yoichi,43.2039,140.7703,37.4,70,40,3.6
papetoai,-17.4961,-149.8729,82.184,61,75,6.17
barentsburg,NA,NA,NA,NA,NA,NA
eureka,40.8021,-124.1637,50.791999999999994,98,100,2.83
tasiilaq,65.6145,-37.6368,32.0,69,90,17.49
bambous virieux,-20.3428,57.7575,77.01800000000009,78,40,5.14
le mars,42.7942,-96.1656,-5.115999999999957,65,90,2.57
kodinsk,58.6881,99.1844,-7.977999999999966,88,100,1.96
asau,46.4333,26.4,15.998000000000026,43,0,3.49
tura,25.5198,90.2201,73.99400000000007,38,0,0.51
rabo de peixe,37.8,-25.5833,60.908,88,40,7.2
severo-kurilsk,50.6789,156.125,28.88600000000007,95,99,3.77
zapolyarnyy,69.4154,30.8136,1.3999999999999986,85,90,3.6
punta arenas,-53.15,-70.9167,55.202000000000076,54,90,4.63
qaanaaq,77.484,-69.3632,-2.109999999999978,70,0,2.1
nemuro,43.3236,145.575,32.0,69,0,4.12
saint-philippe,-21.3585,55.7679,73.02200000000003,65,0,9.77
bay city,43.5945,-83.8889,12.578000000000067,92,40,2.63
igarka,67.4667,86.5833,-34.13199999999998,82,0,1.25
amderma,NA,NA,NA,NA,NA,NA
tuatapere,-46.1333,167.6833,71.99600000000005,59,73,1.79
nantucket,41.2835,-70.0995,24.422000000000036,74,90,2.57
atuona,-9.8,-139.0333,79.03399999999999,79,1,6.82
fort morgan,40.2503,-103.8,5.0,66,90,7.2
hasaki,35.7333,140.8333,56.354000000000056,54,20,2.06
carnarvon,-24.8667,113.6333,86.0,79,90,5.14
busselton,-33.65,115.3333,75.00200000000008,58,0,0.89
zaria,11.1113,7.7227,65.858,24,1,4.01
copiapo,-27.3667,-70.3333,64.4,77,1,2.57
coihaique,-45.5752,-72.0662,57.2,58,0,2.32
saskylakh,71.9167,114.0833,-27.939999999999962,82,77,0.86
sanok,49.5557,22.2056,6.314000000000032,94,100,2.95
dzhusaly,NA,NA,NA,NA,NA,NA
shenzhen,22.5455,114.0683,65.26400000000004,69,66,1.34
lima,-12.0432,-77.0282,73.20200000000008,78,0,5.14
arraial do cabo,-22.9661,-42.0278,76.08200000000002,89,100,6.55
san rafael,-34.6177,-68.3301,74.08399999999999,50,70,4.29
kaitangata,-46.2817,169.8464,66.00200000000008,74,70,3.13
sao paulo do potengi,-5.895,-35.7628,79.61000000000008,83,40,2.06
ust-ilimsk,58.0006,102.6619,-5.997999999999976,89,100,3.4
hilo,19.7297,-155.09,74.35400000000006,57,1,5.66
mizpe ramon,NA,NA,NA,NA,NA,NA
geraldton,-28.7667,114.6,91.4,35,75,10.29
cape town,-33.9258,18.4232,65.33600000000007,88,0,0.51
houston,29.7633,-95.3633,35.83399999999999,86,90,6.17
albany,42.6001,-73.9662,10.238000000000046,52,65,1.81
aklavik,68.2191,-135.0107,-0.30999999999998096,78,85,1.54
vardo,70.3705,31.1107,20.624000000000013,92,63,4.94
broome,42.2506,-75.833,12.614000000000033,48,90,2.57
tabou,4.423,-7.3528,78.24199999999999,90,0,2.78
illoqqortoormiut,NA,NA,NA,NA,NA,NA
mahebourg,-20.4081,57.7,78.8,78,40,5.14
sakakah,29.9697,40.2064,53.6,62,0,1.54
chicama,-7.8447,-79.1469,74.78600000000007,65,86,2.78
bandarbeyla,9.4942,50.8122,71.31200000000005,77,74,5.14
san patricio,28.017,-97.5169,35.18600000000007,93,90,6.69
udachnyy,66.4167,112.4,-19.785999999999966,79,93,0.56
victoria,22.2855,114.1577,65.87600000000009,77,78,1.34
livenka,50.4491,38.2959,12.758000000000003,87,100,9.49
attawapiskat,NA,NA,NA,NA,NA,NA
kloulklubed,7.0419,134.2556,84.2,74,75,5.14
gamba,-2.65,10,78.81800000000008,84,100,3.39
fatezh,52.0891,35.8632,6.800000000000001,78,90,4
new norfolk,-42.7826,147.0587,69.83600000000007,39,95,1.79
bluff,-46.6,168.3333,71.99600000000005,59,69,1.79
port macquarie,-31.4333,152.9167,73.4,88,90,3.6
beloha,-25.1667,45.05,75.39800000000002,74,97,5.23
ozernovskiy,51.5,156.5167,27.662000000000056,96,100,3.39
ijaki,NA,NA,NA,NA,NA,NA
chikmagalur,13.3167,75.7833,65.13800000000005,59,53,1.7
hermanus,-34.4187,19.2345,71.99600000000005,81,1,1.79
talnakh,69.4865,88.3972,-21.40599999999997,86,100,1.04
vaini,-21.2,-175.2,86.0,74,75,3.6
nizhneyansk,NA,NA,NA,NA,NA,NA
kapoeta,4.7717,33.5903,77.46800000000009,42,0,1.57
hithadhoo,-0.6,73.0833,82.4,73,98,5.36
belushya guba,NA,NA,NA,NA,NA,NA
georgetown,5.4112,100.3354,83.49800000000002,69,20,4.12
laguna,38.421,-121.4238,53.852000000000075,54,1,1.54
bathsheba,13.2167,-59.5167,77.0,69,20,8.75
kavieng,-2.5744,150.7967,84.75800000000001,72,33,4.28
coquimbo,-29.9533,-71.3436,62.6,82,0,2.57
gobabis,-22.45,18.9667,65.24600000000005,73,100,2.43
lata,40.1629,-8.3327,49.478000000000065,95,100,0.57
east london,-33.0153,27.9116,74.58800000000005,79,22,4.25
provideniya,64.3833,-173.3,0.46400000000003416,90,100,12.85
faya,18.3851,42.4509,50.9,76,0,0.8
ramhormoz,31.28,49.6035,50.0,81,0,1.55
nyimba,-14.5566,30.8149,67.13600000000007,96,100,1.74
quatre cocos,-20.2078,57.7625,76.26200000000006,78,40,5.14
jamestown,42.097,-79.2353,14.57600000000009,67,1,3.09
cabo san lucas,22.8909,-109.9124,63.55400000000005,77,1,6.69
okhotsk,59.3833,143.3,16.37600000000009,92,100,1.89
bourail,-21.5667,165.4833,82.77800000000006,67,20,2.11
katobu,-4.9408,122.5276,86.64800000000002,64,100,3.67
dzerzhinskoye,56.8344,95.2283,-11.991999999999948,85,98,1.3
mogadishu,2.0371,45.3438,75.38000000000004,83,14,7.53
palabuhanratu,NA,NA,NA,NA,NA,NA
sinkat,NA,NA,NA,NA,NA,NA
tiksi,71.6872,128.8694,-9.921999999999933,91,58,1.93
cidreira,-30.1811,-50.2056,74.75,81,100,6.88
teguldet,57.3064,88.1667,-19.101999999999975,86,100,2.67
alvorada,-12.48,-49.1247,72.21200000000006,94,97,1.24
sidi qasim,NA,NA,NA,NA,NA,NA
nishihara,26.1842,127.7558,70.55600000000003,68,75,5.66
necochea,-38.5473,-58.7368,68.0,93,83,1.34
szczecinek,53.7079,16.6994,24.998000000000026,90,74,4.02
aripuana,-9.1667,-60.6333,74.174,93,37,0.57
palafrugell,41.9174,3.1631,47.24600000000005,93,40,6.44
mar del plata,-38.0023,-57.5575,68.61200000000005,100,90,6.17
ostrovnoy,68.0531,39.5131,-0.6879999999999455,91,99,2.66
saint-joseph,-21.3667,55.6167,73.09400000000008,65,0,9.77
rawson,-43.3002,-65.1023,72.42800000000007,64,0,8.47
jinchang,38.4953,102.1739,46.85,47,1,4.67
brae,60.3964,-1.353,37.4,56,90,12.86
tecpan,14.7623,-90.9947,60.8,88,40,5.14
ponta do sol,32.6667,-17.1,51.15200000000008,71,20,1.34
trofors,65.5333,13.4063,37.202000000000076,81,90,5.14
preobrazhenskaya,NA,NA,NA,NA,NA,NA
alugan,12.2188,125.4808,81.53600000000007,80,66,0.23
torbay,47.6666,-52.7314,29.228000000000065,86,90,13.38
yirol,NA,NA,NA,NA,NA,NA
sabha,27.0377,14.4283,54.860000000000085,44,0,5.57
oranjestad,12.524,-70.027,78.8,78,20,8.75
nikolskoye,59.7035,30.7861,0.9320000000000164,78,75,3
unai,-16.3575,-46.9061,69.29600000000005,93,100,1.03
namibe,-15.1961,12.1522,72.53600000000007,76,26,0.91
tessalit,20.1986,1.0114,68.73800000000004,20,0,6.07
taolanaro,NA,NA,NA,NA,NA,NA
soyo,-6.1349,12.3689,80.2760000000001,78,41,2.93
sitka,57.0531,-135.33,37.4,30,20,4.12
airai,-8.9266,125.4092,73.184,84,62,1.17
narsaq,60.9167,-46.05,44.6,29,90,16.46
yellowknife,62.456,-114.3525,-17.391999999999946,83,1,2.06
tumannyy,NA,NA,NA,NA,NA,NA
grand river south east,NA,NA,NA,NA,NA,NA
aljezur,37.3191,-8.8033,50.59400000000007,75,75,2.15
khaniotis,39.9991,23.58,34.610000000000085,53,100,2.24
vredendal,-31.6683,18.5012,64.56200000000005,88,72,0.41
herrenberg,48.5952,8.8665,14.504000000000055,73,0,4.63
moissala,8.3404,17.7663,69.96200000000006,22,21,1.78
komsomolskiy,40.4272,71.7189,44.6,61,99,4.12
grindavik,63.8424,-22.4338,41.0,81,75,17.49
llanes,43.4198,-4.7549,45.64400000000008,99,99,2.09
sorokino,53.75,84.9167,-21.639999999999965,86,0,0.97
chauk,20.8833,94.8167,75.41600000000001,25,48,0.82
port alfred,-33.5906,26.891,75.00200000000008,94,78,1.79
guerrero negro,27.9769,-114.0611,59.522000000000034,80,29,7.06
karlshamn,56.1706,14.8619,17.294000000000075,93,0,2.57
castro,-24.7911,-50.0119,60.65600000000003,94,26,1.11
phan thiet,10.9333,108.1,78.83600000000007,60,0,2.64
port blair,11.6667,92.75,81.57200000000003,69,96,5.09
dikson,73.5069,80.5464,-25.851999999999975,87,98,5.19
taltal,-25.4,-70.4833,66.72200000000004,72,0,2.03
colac,-38.3333,143.5833,60.332000000000015,64,79,0.45
iqaluit,63.7506,-68.5145,-11.199999999999946,77,20,3.09
college,64.8569,-147.8028,1.4900000000000198,65,20,0.61
bonga,7.2833,36.2333,63.98600000000007,58,74,0.67
valparaiso,-33.0393,-71.6273,60.8,100,90,1.54
price,39.5994,-110.8107,39.2,70,90,2.57
pentecoste,-3.7928,-39.2703,82.00400000000005,77,18,8.94
aars,56.804,9.5144,16.412000000000056,92,0,0.94
antalaha,-14.9003,50.2788,74.78600000000007,87,100,2.18
fortuna,40.5982,-124.1573,50.59400000000007,100,90,1.81
itarema,-2.9248,-39.9167,79.358,83,46,4.75
shrigonda,18.6167,74.6833,71.52800000000006,34,3,4.61
praya,14.9215,-23.5087,69.8,73,0,9.77
upernavik,72.7868,-56.1549,-2.7939999999999685,81,0,3.72
avera,33.194,-82.5271,40.658,89,90,4.63
lindenhurst,40.6868,-73.3735,28.58000000000004,40,90,1.54
turukhansk,65.8167,87.9833,-30.31599999999996,78,0,2.69
lipetsk,52.6031,39.5708,8.06000000000008,93,99,7.16
pontes e lacerda,-15.2261,-59.3353,72.08600000000007,96,100,1.89
manavgat,36.7867,31.4431,52.772000000000034,35,0,8.23
albuquerque,35.0845,-106.6511,47.55200000000008,43,40,6.17
itumbiara,-18.4192,-49.2153,70.7,91,100,2.58
abu kamal,34.4506,40.9171,55.346000000000046,49,0,4.14
husavik,66.0449,-17.3389,39.2,56,20,2.06
emirdag,39.0197,31.15,28.79600000000005,93,6,1.14
basco,20.4487,121.9702,73.23800000000004,78,0,6.82
chuy,-33.6971,-53.4616,70.16000000000008,91,100,3.88
puerto escondido,15.85,-97.0667,78.8,78,40,1.54
road town,18.4167,-64.6167,76.67600000000009,84,0,8.05
diffa,13.3154,12.6113,68.43200000000002,24,0,4.02
pisco,-13.7,-76.2167,71.34800000000003,78,0,6.69
coro,11.4045,-69.6734,75.75800000000001,80,17,7.55
faanui,-16.4833,-151.75,81.91400000000003,72,18,4.57
pochutla,15.7432,-96.4661,78.00800000000001,75,16,1
isiolo,0.3546,37.5822,71.51000000000008,65,75,1.35
mehriz,31.5917,54.4318,44.6,33,0,3.09
covington,39.0837,-84.5086,25.304000000000052,68,90,3.09
itoman,26.1247,127.6694,70.808,83,40,8.23
nichinan,31.6,131.3667,57.2,94,75,6.69
mumford,5.2618,-0.759,81.03200000000001,86,27,4.64
saleaula,NA,NA,NA,NA,NA,NA
mys shmidta,NA,NA,NA,NA,NA,NA
vestmannaeyjar,63.4427,-20.2734,41.55800000000001,89,100,21.46
luderitz,-26.6481,15.1594,63.35600000000003,86,29,3.46
santiago del estero,-27.7951,-64.2615,71.99600000000005,84,80,3.58
virbalis,54.6267,22.8169,10.34600000000005,96,98,3.26
san francisco,37.7749,-122.4194,51.26000000000008,82,75,7.72
charcas,23.1333,-101.1167,53.42000000000006,39,0,3.18
troitsko-pechorsk,62.7084,56.1964,-18.507999999999953,88,29,2.29
muroto,33.2833,134.15,62.6,55,75,2.06
sao filipe,14.8961,-24.4956,73.058,62,0,7.59
bengkulu,-3.8004,102.2655,85.55,63,40,1.5
margate,51.3813,1.3862,27.716000000000008,53,7,3.13
norman wells,65.282,-126.8329,-11.199999999999946,77,20,1.54
nagato,34.3833,131.2,53.33000000000004,76,75,4.12
markova,48.6758,24.4138,1.9580000000000055,86,31,4.51
chateauroux,46.8167,1.7,24.8,80,0,4.12
samarai,-10.6167,150.6667,84.16400000000003,66,20,4.15
leningradskiy,69.3833,178.4167,-18.54399999999997,84,100,3.16
nsawam,5.8089,-0.3503,82.4,89,20,6.17
san cristobal,7.7669,-72.225,67.02800000000006,73,92,0.61
clyde river,70.4692,-68.5914,-2.199999999999946,92,100,12.35
utmanzai,34.188,71.7629,57.74000000000002,35,100,0.49
maragogi,-9.0122,-35.2225,78.22400000000002,82,20,4.19
novomykolayivka,47.9781,35.9102,8.294000000000075,78,40,7
usinsk,65.9939,57.5281,-18.30999999999998,88,100,1.48
rungata,NA,NA,NA,NA,NA,NA
sisimiut,66.9395,-53.6735,10.508000000000003,92,84,1.34
lompoc,34.6391,-120.4579,49.46000000000008,82,1,7.2
westport,41.1415,-73.3579,27.122000000000035,31,90,3.09
constitucion,-35.3333,-72.4167,58.31600000000001,88,54,3.14
aflu,NA,NA,NA,NA,NA,NA
vanimo,-2.6741,141.3028,78.53000000000004,84,100,1.96
nouakchott,18.0858,-15.9785,68.0,15,0,6.17
aras,42.5617,-2.356,41.0,93,0,2.06
plettenberg bay,-34.0527,23.3716,71.43800000000005,95,79,1.14
erenhot,43.6475,111.9767,13.496000000000048,87,2,2.69
ixtapa,20.7,-105.2,69.8,78,75,2.57
egvekinot,66.3167,-179.1667,-17.661999999999956,89,100,9.08
progreso,21.2833,-89.6667,75.092,94,75,1.48
primorsk,46.7348,36.3443,17.15,85,63,9.78
shelburne,44.0787,-80.2041,4.982000000000017,85,90,1.38
warqla,NA,NA,NA,NA,NA,NA
valle hermoso,25.6667,-97.8333,39.47000000000006,100,90,6.17
gravdal,68.1214,13.5031,31.1,91,99,6.24
chapais,49.7834,-74.8492,-5.799999999999947,84,90,3.09
cashel,52.5158,-7.8856,32.66600000000001,88,100,5.81
san quintin,30.4833,-115.95,56.75,73,3,7.48
lebu,-37.6167,-73.65,57.938000000000045,85,0,6.45
molina,-35.1167,-71.2833,68.0,73,40,1.03
gorontalo,0.5412,123.0595,80.924,82,100,1.33
singkawang,0.9,109,84.18200000000002,70,85,3.83
betanzos,43.2804,-8.2147,54.03200000000002,82,20,4.12
kirensk,57.7853,108.1119,-11.325999999999937,87,97,2.18
ayan,56.45,138.1667,16.988000000000046,95,100,3.66
estelle,29.8458,-90.1067,46.13000000000004,100,90,4.12
outlook,51.5001,-107.0513,-20.127999999999965,69,17,2.06
buraydah,26.326,43.975,55.4,82,0,3.83
havre-saint-pierre,50.2334,-63.5986,19.4,58,90,4.12
pula,44.8683,13.8481,30.2,47,40,10.29
bilibino,68.0546,166.4372,-16.761999999999958,83,62,0.87
boysun,38.2061,67.1986,43.86200000000006,54,10,1.8
svetlogorsk,52.6333,29.7333,7.682000000000016,94,100,8.32
ozinki,51.1786,49.6769,30.398000000000025,98,100,7.12
tilichiki,60.4667,166.1,-12.009999999999977,85,0,5.71
arman,59.7,150.1667,14.12600000000009,86,100,0.58
campo verde,-20.4167,-54.0667,71.6,88,75,0.51
ancud,-41.8697,-73.8203,50.46800000000009,76,0,4.12
evensk,61.95,159.2333,0.4820000000000171,80,0,2.13
belyy yar,53.6039,91.3903,-23.799999999999955,76,7,0.23
meyungs,NA,NA,NA,NA,NA,NA
nueva guinea,11.6876,-84.4562,68.28800000000004,95,13,2.33
inirida,3.8653,-67.9239,74.33600000000007,93,98,0.77
san jose,37.3394,-121.895,53.06000000000008,71,75,4.12
kamaishi,39.2667,141.8833,35.6,69,40,1.03
akureyri,65.6835,-18.0878,39.2,56,20,2.06
pevek,69.7008,170.3133,-18.651999999999973,89,100,3.14
bereslavka,48.6254,44.0449,30.091999999999995,93,90,11
victor harbor,-35.5667,138.6167,68.0,64,64,1.79
barranca,-10.75,-77.7667,72.05,72,100,2.06
mareeba,-17,145.4333,85.01000000000008,66,90,3.6
hay river,60.8156,-115.7999,-17.481999999999964,69,3,1.54
kalmunai,7.4167,81.8167,77.342,87,45,3.72
tamazunchale,21.2667,-98.7833,56.69600000000005,89,86,1.03
tuggurt,NA,NA,NA,NA,NA,NA
kaeo,-35.1,173.7833,72.57200000000003,54,3,4.46
otane,-39.8833,176.6333,78.00800000000001,42,2,4.8
san jose del guaviare,2.5729,-72.6459,76.38800000000005,67,96,1.15
svetlaya,46.5389,138.3297,36.806000000000026,79,90,3.52
pitimbu,-7.4706,-34.8086,77.0,100,90,3.09
la ronge,55.1001,-105.2842,-25.59999999999995,69,19,0.29
tucumcari,35.1717,-103.725,19.4,73,90,3.6
san borja,-14.8167,-66.85,71.67200000000004,94,58,0.69
sinnamary,5.3833,-52.95,78.13399999999999,87,92,6.06
hailar,49.2,119.7,-1.8399999999999679,87,0,7.55
san rafael del sur,11.8485,-86.4384,77.64800000000002,70,13,3.77
caala,-12.8525,15.5606,53.00600000000003,86,0,1.34
burgeo,47.6167,-57.6152,25.430000000000042,93,12,7.66
aqtobe,50.2797,57.2072,19.4,68,0,1
cururupu,-1.8283,-44.8683,76.22600000000008,93,89,1.77
tubmanburg,6.8708,-10.8172,77.43200000000002,91,57,1.22
salalah,17.0151,54.0924,66.2,45,0,1.03
nouadhibou,20.931,-17.0347,62.6,82,0,10.29
ilulissat,69.2167,-51.1,8.600000000000001,78,75,2.53
nome,64.5011,-165.4064,28.4,74,90,9.26
bilma,18.6853,12.9164,68.14400000000008,21,0,3.31
alofi,-19.0595,-169.9187,84.2,74,74,4.63
saint george,37.1041,-113.5841,55.97600000000009,36,1,1.31
lewisporte,49.2499,-55.0482,25.808000000000003,86,90,8.75
salinas,36.6777,-121.6555,53.07800000000007,82,75,4.12
ribeira grande,38.5167,-28.7,60.81800000000008,78,100,13.78
korla,41.7597,86.1469,37.508,70,13,2.41
dungarvan,52.0881,-7.6253,37.65200000000008,89,100,3.13
vaitupu,NA,NA,NA,NA,NA,NA
fairbanks,64.8378,-147.7164,1.6160000000000068,78,1,0.63
toora-khem,52.4675,96.11,-11.28999999999997,85,92,0.84
tymovskoye,50.8456,142.655,27.302000000000078,96,93,2.38
ca mau,9.1769,105.15,82.76000000000008,58,54,4.13
iisalmi,63.5592,27.1907,14.0,92,90,1.54
conceicao do araguaia,-8.2578,-49.2647,74.73200000000001,92,100,0.83
louisbourg,NA,NA,NA,NA,NA,NA
saint-denis,48.9167,2.3333,22.982000000000017,68,0,3.6
ossora,59.2353,163.0719,0.9320000000000164,83,0,5.29
vestmanna,62.1564,-7.1664,37.4,75,90,9.77
chokurdakh,70.6333,147.9167,-20.82999999999994,72,0,1.66
bulgan,48.8125,103.5347,-2.613999999999983,88,99,0.53
nanortalik,60.1432,-45.2371,37.274000000000015,74,100,3.59
paradwip,NA,NA,NA,NA,NA,NA
henties bay,-22.116,14.2845,69.99800000000002,89,42,2.24
chapleau,47.8405,-83.4034,-11.199999999999946,70,1,2.06
ginir,7.1333,40.7,55.274000000000015,56,45,0.23
pueblo nuevo,23.3833,-105.3833,42.02600000000009,100,2,1.17
arrifes,37.7667,-25.7,60.908,88,40,7.2
sainte-luce,14.4673,-60.9271,74.39000000000001,73,75,5.14
juneau,58.3019,-134.4197,33.8,29,1,9.26
acapulco,16.8634,-99.8901,77.0,78,1,3.09
meadow lake,34.8014,-106.5436,49.478000000000065,43,40,6.17
hirara,24.8,125.2833,74.46200000000006,73,40,7.2
hurghada,27.2574,33.8129,60.8,48,0,3.6
karakulino,56.012,53.7067,31.388000000000044,99,100,3.14
samalaeulu,NA,NA,NA,NA,NA,NA
eresos,39.1667,25.9333,46.4,61,99,5.48
coahuayana,18.7333,-103.6833,64.45400000000005,77,20,1.48
muros,42.7762,-9.0603,55.562000000000054,74,100,7.6
sao luiz gonzaga,-28.4083,-54.9608,66.41600000000001,91,0,1.27
leshan,29.5623,103.7639,58.31600000000001,74,100,1.98
saldanha,-33.0117,17.9442,62.6,88,0,1.54
petaling jaya,3.1073,101.6067,85.658,70,20,0.51
mogochin,NA,NA,NA,NA,NA,NA
artigas,-30.4,-56.4667,68.45,82,1,2.48
farah,32.5,62.5,48.88399999999999,44,0,0.2
morro bay,35.3658,-120.8499,52.52000000000006,91,21,3.48
ligayan,4.6533,119.4706,82.07600000000009,79,100,5.5
ruteng,-8.6136,120.4721,76.91000000000008,70,47,1.64
khatanga,71.9667,102.5,-26.247999999999976,86,99,3.79
san isidro,-12.1167,-77.05,73.16600000000001,78,0,5.14
razdolinsk,58.4211,94.6658,-15.159999999999982,88,100,2.66
zlitan,32.4674,14.5687,55.63399999999999,69,0,6.34
inhambane,-23.865,35.3833,79.10600000000002,87,53,4.17
harper,4.375,-7.7169,78.92600000000009,89,0,3.11
hanmer springs,-42.5167,172.8167,77.25200000000008,27,100,1.34
kruisfontein,-34.0033,24.7314,73.00400000000005,93,98,1.76
manokwari,-0.8667,134.0833,83.12000000000006,79,92,3.68
poum,-20.2333,164.0167,80.65400000000005,73,0,4.47
uvalde,29.3669,-99.767,34.25,93,90,3.09
argalasti,39.2333,23.2167,41.360000000000085,65,75,2.06
bethel,41.3712,-73.414,25.304000000000052,30,90,1.54
sur,22.5667,59.5289,66.74000000000002,53,0,1
gawler,-34.6,138.7333,72.69800000000002,54,96,4.92
atar,20.5169,-13.0499,62.72600000000009,24,0,4.32
kaspiyskiy,45.3929,47.3707,42.92600000000009,89,100,8.91
humaita,-7.5061,-63.0208,75.59600000000005,95,99,0.5
cap malheureux,-19.9842,57.6142,75.00200000000008,85,2,3.13
benghazi,32.1167,20.0667,57.110000000000085,71,6,2.01
alausi,-2.2,-78.8333,51.17000000000006,92,99,0.07
dingle,10.9995,122.6711,84.308,74,48,2.81
puerto baquerizo moreno,-0.9,-89.6,77.0,87,83,4.15
marcona,NA,NA,NA,NA,NA,NA
hobyo,5.3505,48.5268,74.408,79,85,6.16
nawa,27.0167,75,62.94199999999999,35,4,2.76
nizhniy baskunchak,48.2198,46.8311,38.93000000000004,94,100,5.09
batagay,67.6333,134.6333,-10.74999999999995,86,0,0.31
hami,42.8,93.45,39.63200000000002,63,0,1.07
loreto,22.2667,-101.9667,50.09000000000002,36,0,3.37
mayo,38.8876,-76.5119,29.78600000000007,64,90,1.54
la asuncion,11.0333,-63.8628,75.70400000000005,87,13,7.03
kandrian,-6.2167,149.55,85.208,74,100,1.55
natal,-5.795,-35.2094,79.73600000000008,83,20,4.12
esperance,-33.8667,121.9,73.4,46,0,2.57
slyudyanka,51.6594,103.7061,1.544000000000075,81,71,0.82
mbandaka,0.0487,18.2603,76.01000000000008,71,56,0.93
humberto de campos,-2.5983,-43.4611,78.26000000000008,86,99,3.11
rocha,-34.4833,-54.3333,68.792,93,100,3.58
kahului,20.8947,-156.47,74.75,51,40,8.23
ulaanbaatar,47.9077,106.8832,-9.399999999999949,77,75,1
lovozero,68.005,35.0117,-4.881999999999962,91,100,1.2
merritt island,28.5392,-80.672,72.46400000000003,94,1,3.09
kibala,9.1104,18.3463,71.6,43,0,1.89
vila franca do campo,37.7167,-25.4333,60.908,88,40,7.2
fairlie,55.756,-4.8556,26.132000000000016,73,100,9.64
bereda,43.2686,-7.5406,46.52600000000009,90,100,3.13
bubaque,11.2833,-15.8333,77.30600000000003,65,0,4.73
belaya gora,68.5333,146.4167,-22.107999999999947,80,0,1.28
verkhnevilyuysk,63.4453,120.3167,-13.26999999999996,88,100,2.85
porrentruy,47.4153,7.0752,14.954000000000054,68,90,6.69
klaksvik,62.2266,-6.589,37.4,75,90,9.77
bambanglipuro,-7.95,110.2833,83.192,73,34,2.88
grand gaube,-20.0064,57.6608,75.00200000000008,85,3,3.13
kirakira,-10.4544,161.9205,83.42600000000009,78,100,4.73
deputatskiy,69.3,139.9,-16.32999999999994,90,100,1.28
aksu,41.1231,80.2644,36.57200000000004,70,43,0.42
nelson bay,-32.7167,152.15,72.32000000000006,100,90,7.72
codrington,-38.2667,141.9667,66.02000000000007,53,0,5.39
oranjemund,-28.55,16.4333,62.94199999999999,92,82,4.48
dudinka,69.4058,86.1778,-23.85399999999995,86,100,1.65
umm jarr,NA,NA,NA,NA,NA,NA
luganville,-15.5333,167.1667,84.93800000000005,65,42,4.82
sistranda,63.7256,8.834,32.0,74,40,13.89
belvedere marittimo,39.6179,15.8617,40.622000000000035,100,90,1.54
padang,-0.9492,100.3543,87.8,66,20,1.54
manta,-0.95,-80.7333,80.6,78,75,1.03
lazaro cardenas,17.9583,-102.2,70.05200000000008,74,3,2.68
cascais,38.6979,-9.4215,48.97400000000001,93,0,2.14
zhigansk,66.7697,123.3711,-8.049999999999947,90,100,5.05
port lincoln,-34.7333,135.8667,68.93600000000006,59,23,4.37
shache,38.4167,77.2406,39.38000000000004,65,46,1.93
pokhara,28.2333,83.9833,65.82200000000003,38,0,0.79
lagoa,39.05,-27.9833,59.45,81,100,13.67
jojoima,7.8792,-10.7878,72.14000000000001,93,0,0.8
